EmployeeID,Basic_Salary,HRA,Allowances,Branch
E001,32000,8000,5000,Mumbai
E002,35000,9000,6000,Mumbai
E003,52000,15000,8000,Delhi
E004,30000,7500,4500,Bangalore
E005,31000,7800,4800,Kolkata
E006,34500,9000,6000,Bangalore
E007,33000,8500,5200,Delhi
E008,58000,16000,9000,Kolkata
E009,29500,7000,4000,Mumbai
E010,28000,6500,3500,Kochi
E011,31000,7500,4800,Delhi
E012,36000,9000,6500,Mumbai
E013,54000,15000,8500,Kolkata
E014,30000,7200,4500,Bangalore
E015,31500,7400,4600,Delhi
E016,35000,8800,6000,Kolkata
E017,29000,7000,4200,Mumbai
E018,33000,8500,5200,Bangalore
E019,56000,16000,9000,Delhi
E020,28000,6500,3600,Kolkata
E021,29500,7000,4500,Delhi
E022,34000,8800,6200,Kochi
E023,50000,14000,9000,Mumbai
E024,31000,7800,4800,Kolkata
E025,32000,8000,5000,Bangalore
E026,35500,9000,6300,Delhi
E027,28500,6900,4200,Kolkata
E028,30000,7200,4500,Mumbai
E029,51500,14500,8200,Delhi
E030,29000,7000,4300,Bangalore
E031,30000,7200,4600,Kochi
E032,36000,8800,6200,Delhi
E033,55000,16000,9000,Mumbai
E034,29500,7000,4500,Kolkata
E035,31000,7500,4700,Bangalore
E036,34500,8800,6000,Kolkata
E037,32000,8000,5000,Delhi
E038,30000,7200,4600,Bangalore
E039,57000,17000,9500,Kochi
E040,28000,6500,3500,Mumbai
E041,30500,7600,4800,Kolkata
E042,36000,9000,6500,Delhi
E043,52000,15000,9000,Bangalore
E044,29000,6900,4200,Mumbai
E045,31500,7400,4600,Kolkata
E046,35000,8800,6200,Kochi
E047,33000,8200,5200,Bangalore
E048,28000,6500,3800,Delhi
E049,58000,16500,9200,Mumbai
E050,30000,7200,4300,Kolkata
E051,29000,7000,4200,Bangalore
E052,34000,8800,6000,Delhi
E053,51000,14000,8800,Mumbai
E054,30000,7200,4500,Kolkata
E055,32000,8000,5000,Delhi
E056,34500,8800,6000,Bangalore
E057,28000,6500,3800,Kochi
E058,30000,7200,4400,Delhi
E059,52000,15000,8700,Kolkata
E060,28500,6900,4200,Mumbai
